VENDOR,BILLING_MONTH,VENDOR_PARTNER_NAME,USAGE_ROWS,TOTAL_QUANTITY,TOTAL_AMOUNT,EST_DOLLAR_IMPACT,NORMALIZED_KEY
Webroot,2026-01-01,DigitalBrainz,2,1083.0,567.12,567.12,digitalbrainz
Exium,2026-01-01,Community Change,1,103.0,566.5,566.5,community change
Acronis,2026-07-01,"HRI Properties, LLC",5,17118.0,565.5192000000001,565.5192000000001,hri propertie  llc
ESET,2026-04-01,Rigidnet LLC,2,28200.0,564.970783,564.970783,rigidnet llc
Bitdefender,2026-02-01,Acclaim IT,3,450.0,563.6858,563.6858,acclaim it
Acronis,2026-01-01,Carter Computer Consulting,6,24389.95,561.90046,561.90046,carter computer con ulting
ESET,2026-01-01,Rigidnet LLC,2,29140.0,561.52495,561.52495,rigidnet llc
ESET,2026-03-01,Rigidnet LLC,2,29140.0,561.0557249999999,561.0557249999999,rigidnet llc
ESET,2026-02-01,SysTechNY,1,19600.0,560.08734,560.08734,y techny
KeepIT,2026-01-01,AspireTech,2,831.0,558.25,558.25,a piretech
SentinelOne,2026-04-01,PARROINFODEVELOPPEMENT,3,939.0,557.14,557.14,parroinfodeveloppement
Acronis,2026-05-01,Educational Records Bureau,1,10218.27,556.895715,556.895715,educational record  bureau
Exium,2026-02-01,Community Change,1,101.0,555.5,555.5,community change
Acronis,2026-02-01,Carter Computer Consulting,6,24318.48,554.058104,554.058104,carter computer con ulting
Webroot,2026-02-01,DigitalBrainz,2,1056.0,553.24,553.24,digitalbrainz
Bitdefender,2026-01-01,"Cornerstone Computer Solutions, Inc",1,368.0,552.0,552.0,corner tone computer  olution  inc
SentinelOne,2026-06-01,SYSTECHNY,1,763.0,549.36,549.36,y techny
Acronis,2026-07-01,T3voicenet,4,12256.78,548.294357,548.294357,t3voicenet
Auvik,2026-02-01,ConnectWise - APAC,1,52.0,546.0,546.0,connectwi e apac
Acronis,2026-04-01,Educational Records Bureau,1,9977.78,543.78901,543.78901,educational record  bureau
Proofpoint,2026-02-01,Network Center Communications,15,329.0,542.8499999999999,542.8499999999999,network center communication
Proofpoint,2026-07-01,Torindrive,2,328.0,539.5600000000001,539.5600000000001,torindrive
Acronis,2026-06-01,"HRI Properties, LLC",4,16168.48,537.370504,537.370504,hri propertie  llc
ESET,2026-07-01,The Computer Doctors,1,20615.0,536.539253,536.539253,the computer doctor
Webroot,2026-04-01,IDT Support,1,1031.0,536.12,536.12,idt  upport
Auvik,2026-01-01,ConnectWise - APAC,1,51.0,535.5,535.5,connectwi e apac
Webroot,2026-03-01,DigitalBrainz,2,1021.0,534.95,534.95,digitalbrainz
ESET,2026-05-01,"ConnectWise, Inc. PSA",3,25575.0,532.236067,532.236067,connectwi e inc p a
Webroot,2026-06-01,"Excell It, Inc.",1,950.0,532.0,532.0,excell it inc
Webroot,2026-07-01,"Excell It, Inc.",1,950.0,532.0,532.0,excell it inc
Webroot,2026-03-01,IDT Support,1,1023.0,531.96,531.96,idt  upport
Acronis,2026-06-01,BIZITSS,6,25882.13,531.749324,531.749324,bizit
Acronis,2026-05-01,"HRI Properties, LLC",4,15783.12,531.667176,531.667176,hri propertie  llc
Acronis,2026-04-01,"HRI Properties, LLC",4,14267.46,530.518808,530.518808,hri propertie  llc
ESET,2026-02-01,"ConnectWise, Inc. PSA",3,23100.0,528.8608830000001,528.8608830000001,connectwi e inc p a
Webroot,2026-05-01,IDT Support,1,1016.0,528.32,528.32,idt  upport
