VENDOR,PARTNER_NAME,PARENT_COMPANY,SF_ID,CMS_ID,ZUORA_NAME
Acronis,"Xpertechs, LLC",,ACT-00158933,32597,
Acronis,Netsource One Inc,,ACT-00037128,27795,
Acronis,Techton Consulting LLC,,ACT-00264694,23953,
Acronis,Chris Humphrey Office National,,ACT-00064045,14930,
Acronis,Promethius Consulting,,ACT-00149467,28179,
Acronis,Nex-Tech LLC,,ACT-00237849,,
Acronis,Tech Solution,,ACT-00225398,,Technitrick
Acronis,SHARKTOOTH NETWORKS INC,Ingram Micro,ACT-00153605,32232,
Acronis,ThrottleNet Inc,,ACT-00230196,25808,
Acronis,Agilico,,ACT-00106185,500000904,
Acronis,"Professional Business Systems, Inc - (BAD Tenant)",,ACT-00219320,23634,
Acronis,"ThinkTech Computers, Inc",,ACT-00089997,19281,
Acronis,ByteWyze Computer Services,,ACT-00197873,29657,
Acronis,Technology Plus,,ACT-00050775,23891,
Acronis,Montec IT Group,,ACT-00198204,26428,
Acronis,Prefix Technologies,,ACT-00207844,,
Acronis,IT Kauai Inc,,ACT-00033691,26895,
Acronis,Clementech,,ACT-00296777,27524,
Acronis,Coviah,,ACT-00289041,28111,
Acronis,"Tech Heroes, Inc",,ACT-00000270,25114,
Acronis,BCIT Solutions,,ACT-00267798,24248,
Acronis,Advanced Hospitality Technologies,,ACT-00195588,,Advanced Systems
Acronis,Baltnetos Komunikacijos,,ACT-00116583,,
Acronis,Streetertech,,ACT-00243456,745,
Acronis,Virtual Office Solutions,,ACT-00204392,23072,
Acronis,Proven Business Systems /1,,ACT-00058165,26933,
Acronis,Complete I.T. Limited,,ACT-00108868,500000084,
Acronis,Kaminski Engineering & Management,,ACT-00075647,27644,
Acronis,OneCom Ltd,,ACT-00224155,500001040,
Acronis,BD Managed Services,,ACT-00120914,,
Acronis,Noah Morrison,,ACT-00103409,,
Acronis,WTA Consulting,,ACT-00243438,23373,
Acronis,VIcom Virginia Integrated Communications,,ACT-00187986,-,
Acronis,Computer Heaven,,ACT-00191379,27962,
Acronis,Maverick Gardner,,ACT-00275949,26542,
Acronis,BEAR BYTE GmbH,,ACT-00382785,500000676,
Acronis,DigitalBrainz,,ACT-00217986,21485,
Acronis,Alpha Wireless Communications,,ACT-00246173,,AlphaKOR Group Inc
Acronis,"GSG Computers, Inc.",,ACT-00240157,,
Acronis,Advantech IT Solutions,,ACT-00133809,27439,
Acronis,ACT Enviro,,ACT-00068995,,
Acronis,TCT Federal Credit Union,,ACT-00263207,,
Acronis,BluWave,,ACT-00119428,24752,
Acronis,Lighthouse Technology Services,,ACT-00047784,23339,
Acronis,TC IT Solutions,,ACT-00208137,25267,
Acronis,Digital Office Systems Inc,,ACT-00189721,11631,
Acronis,Northern Saints Catholic Education Trust,,ACT-00018341,-,
Acronis,Metrix,,ACT-00265102,22836,
Acronis,"Adtech Computers, Inc.",,ACT-00138375,34057,
Acronis,"Gray Wolf Information Technologies, Inc.",,ACT-00046473,,
Acronis,Ascension Technology,,ACT-00202961,11727,
Acronis,NEO TECHNOLOGIES CONSULTING PTY LTD,,ACT-00267425,24406,
Acronis,DG Network Solutions LLC,,ACT-00166582,26846,
Acronis,ACT Enviro,,ACT-00068995,-,
Acronis,"HRI Properties, LLC",,ACT-00121826,33161,
Acronis,The Cloud Platform,,ACT-00208415,,
Acronis,Paronubi,,ACT-00117330,,Paronubi
Acronis,S Hotel Jamaica,,ACT-00295892,27171,
Acronis,Educational Records Bureau,,ACT-00263860,,
Acronis,PDC Wellness,,ACT-00267799,,
Acronis,"Itechra, Inc.",,ACT-00153488,24224,
Acronis,Frontline Security Solutions,,ACT-00055707,26506,
Acronis,Oryx Align,,ACT-00188468,20529,
Acronis,PA Computer Connections,,ACT-00060766,5112,
Acronis,Williams Technology Pty Ltd,,ACT-00067506,300000172,
Acronis,Technology on Premise,,ACT-00133107,,
Acronis,Harness Group,,ACT-00010677,26881,
Acronis,JWS Solutions,,ACT-00084813,-,
Acronis,Oryx Align,,ACT-00188468,500001120,
Acronis,"Dexcore, LLC",,ACT-00275427,29568,
Acronis,Binyod LLC,,ACT-00091572,24631,
Acronis,Pittsburgh Computer Solutions,,ACT-00056546,23978,
Acronis,Sterling Technology Solutions,,ACT-00131379,30165,
Acronis,Eugenius,,ACT-00084733,,
Acronis,Associated Time & Parking Controls,,ACT-00113763,,
Acronis,Uniag Cooperative,,ACT-00275259,,
Acronis,"AZComp Technologies, Inc",,ACT-00210127,,
Acronis,Custom Wirth LLC,,ACT-00180877,,Custom Solutions
Acronis,Aktiebolaget XREF Stockholm,Innosoft / ELOVADE Sverige AB,ACT-00004104,,
Acronis,"NetWerks Strategic Services, LLC",,ACT-00245388,21206,
Acronis,"Envision Technology Advisors, LLC",,ACT-00016529,,
Acronis,Itro (do not use),,ACT-00197497,,itro
Acronis,Hanatechinc,,ACT-00084764,,
Acronis,T3voicenet,,ACT-00296370,27194,
Acronis,Acuity Network Services,,ACT-00109488,-,
Acronis,GTech Data LLC,,ACT-00135117,20575,
Acronis,Netsource One Inc /1,,ACT-00037128,27795,
Acronis,SouthBridge Consulting,,ACT-00062722,29140,
Acronis,"Utmostit, Inc",,ACT-00020413,27477,
Acronis,Blueshift Computer Technology,,ACT-00148870,30033,
Acronis,SHARKTOOTH NETWORKS INC,Ingram Micro,ACT-00153605,,
Acronis,AMS Retail Solutions,,ACT-00157004,,
Acronis,Turner Teleco - Alexandria LA,,ACT-00012919,7913,
Acronis,Community Technology Consultants LLC,,ACT-00187177,28933,
Acronis,Asteroid IT,,ACT-00230745,,
Acronis,FastString,,ACT-00268138,24114,
Acronis,JointVue,,ACT-00257123,,
Acronis,TCT Federal Credit Union,,ACT-00263207,-,
Acronis,SNS - Secure Network Services,,ACT-00216891,14677,
Acronis,PDC Wellness,Minerva Computers,ACT-00267799,,
Acronis,Allied Business Systems,,ACT-00127057,24702,
Acronis,Acuity Network Services,,ACT-00109488,,
Acronis,Origami Technology Group,Ingram Micro,ACT-00151761,,
Acronis,Cor Managed Services,,ACT-00146633,,
Acronis,MBACIO,,ACT-00301391,27712,
Acronis,Computeam,,ACT-00245535,26378,
Acronis,"Harris Technology Services, LLC",,ACT-00265744,23878,
Acronis,"Ion Technology Group, LLC",,ACT-00059565,31813,
Acronis,Merit Technology Consultants,,ACT-00069243,19226,
Acronis,Advanced Office,,ACT-00195588,,Advanced Systems
Acronis,MicroSPED (#5607),,ACT-00148634,,
Acronis,Harwood International Corp.,,ACT-00067264,21194,
Acronis,Urban Law Group Pty Ltd,,ACT-00264108,,
Acronis,EssentialNet Solutions,,ACT-00185222,21448,
Acronis,Rx Technology,TD Synnex Corp,ACT-00246798,-,
Acronis,Network Design Systems,,ACT-00132533,-,
Acronis,Prevos Solutions,,ACT-00185511,25316,
Acronis,Premier Technology LLC,,ACT-00066446,-,
Acronis,The IT Bunch,,ACT-00286798,25134,
Acronis,Staley Technologies ? Cyber & Managed IT Services,,ACT-00175494,24798,
Acronis,Vision Lab,,ACT-00080715,300000306,
Acronis,"TechnoLogyx, Inc.",,ACT-00104087,,
Acronis,Izzio Artisan Bakery,,ACT-00361841,29308,
Acronis,Icelantic,,ACT-00104498,15159,
Acronis,JWS Solutions,,ACT-00084813,,
Acronis,Knoxville Computer Corp,,ACT-00063302,,
Acronis,ByteWyze Computer Services,,ACT-00197873,,
Acronis,Micro Computer Consulting Inc.,,ACT-00239637,,
Acronis,"Higher Ground Technologies, Inc.",,ACT-00040717,23795,
Acronis,Comstar Technologies,,ACT-00038049,25433,
Acronis,JointVue,,ACT-00257123,-,
Acronis,Fusion Factor Corporation,,ACT-00145015,-,
Acronis,Network Concern,,ACT-00138068,24512,
Acronis,Aufsite,,ACT-00295874,27089,
Acronis,Titanium,,ACT-00185004,29258,
Acronis,FrontierMSP,,ACT-00115244,23439,
Acronis,rzlynt,,ACT-00259058,24628,
Acronis,"Netizen, LLC",,ACT-00267849,25851,
Acronis,Manna Networks,,ACT-00013956,21293,
Acronis,Intrada Technologies LLC,,ACT-00209017,32227,
Acronis,Elevity IT,,ACT-00238028,10330,
Acronis,Noah Morrison,,ACT-00103409,33960,
Acronis,Echo IT,,ACT-00154839,22911,
Acronis,The Computer Doctors,,ACT-00243659,1658,
Acronis,iwerk,,ACT-00052393,25498,
Acronis,TheSoftwareConsultant,,ACT-00018351,24084,
Acronis,IDFS,,ACT-00144331,29694,
Acronis,Specific Gravity Group,,ACT-00238605,13336,
Acronis,KAB Computer Services LLC,,ACT-00074333,28550,
Acronis,IT In Demand,,ACT-00069340,21183,
Acronis,You Must Be Lost,,ACT-00267658,27291,
Acronis,Trahan Computer Tech,,ACT-00073070,24127,
Acronis,Omni Technologies Alliance,,ACT-00161783,-,
Acronis,Crodin,,ACT-00289038,30293,
Acronis,"WDCS, Inc.",,ACT-00188908,,
Acronis,SoConnect,,ACT-00163614,24155,
Acronis,Vulcan Business Solutions LLC,,ACT-00151784,20989,
Acronis,"1 Up Tech, LLC",,ACT-00014442,21077,
Acronis,Bedford Regional Water Authority,,ACT-00287751,26218,
Acronis,"Guardnet, Inc",,ACT-00274596,24584,
Acronis,Bigfoot Technology Group,,ACT-00259318,27829,
Acronis,Rx Technology,TD Synnex Corp,ACT-00246798,,
Acronis,IDT Support,,ACT-00109129,24141,
Acronis,Total Tech Solutions,,ACT-00033024,32088,
Acronis,"Petra Technologies, Inc.",,ACT-00004994,,
Acronis,Baltnetos Komunikacijos,,ACT-00116583,22928,
Acronis,Manning's Office Solutions,,ACT-00113073,,
Acronis,Louisiana Eye & Laser,,ACT-00263923,-,
Acronis,Intelus Technology Group,,ACT-00153508,30229,
Acronis,Astec IT Consultancy LTD,,ACT-00161329,24163,
Acronis,SouthBridge Consulting,,ACT-00062722,,
Acronis,Roebuck Technologies,,ACT-00092471,15219,
