VENDOR,CW_SKUS,DETAIL_ROWS,VENDOR_AMT
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 1 to 99 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure)",5,53356.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Encryption,Bitdefender Cloud Encryption (1-99 ep),Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Sec GravityZone 1 to 99 ep,Bitdefender Cloud Sec GravityZone 1000-2499 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender GravityZone Email Security, 1-99,Bitdefender Patch Management,Bitdefender Patch Management, 1 - 99 ep",5,39070.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Security for Mobile",5,1250.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Encryption,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Patch Management",5,24142.0
Bitdefender,"Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure),Bitdefender Secure Extra,Bitdefender Secure Plus",5,12532.0
Bitdefender,"Bitdefender Cloud Encryption,Bitdefender Cloud Security Gravity Zone (Usage)",5,10905.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 250 to 499 ep",5,6133.0
Bitdefender,"Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender PHASR,Bitdefender Security for Mobile",5,26351.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Sec GravityZone 500 to 749 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure)",4,18964.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Advanced Threat Security,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Sec GravityZone 1 to 99 ep,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender Patch Management",4,6380.0
Bitdefender,"Bitdefender ATS & EDR, 1-99 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 250 to 499 ep",4,1321.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender XDR - Identity",4,158.0
Bitdefender,"Bitdefender ATS & EDR, 500-999 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender GravityZone Email Security, 500-999",4,5393.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender Advanced Threat Security,Bitdefender Advanced Threat Security 100-499 ep,Bitdefender Cloud Security Gravity Zone (Usage)",4,29294.0
Bitdefender,"Bitdefender ATS & EDR, 100-499 ep,Bitdefender Advanced Threat Security 1-99 ep,Bitdefender Cloud Sec GravityZone 100 to 249 ep,Bitdefender Patch Management, 100 - 499 ep",3,2937.0
Bitdefender,"BitDefender Security for Virtualized Environments VS,Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender ATS & EDR, 1-99 ep,Bitdefender ATS & EDR, 100-499 ep,Bitdefender ATS & EDR, 1000-4999 ep,Bitdefender Advanced Threat Security,Bitdefender Cloud Encryption,Bitdefender Cloud Encryption 100-249,Bitdefender Cloud Sec GravityZone (MDR bundle split),Bitdefender Cloud Sec GravityZone 250 to 499 ep,Bitdefender Cloud Security Gravity Zone,Bitdefender Cloud Security Gravity Zone (Usage),Bitdefender EDR (MSP Secure),Bitdefender Patch Management, 100 - 499 ep,Bitdefender Patch Management, 1000 - 4999 ep",3,81734.0
Bitdefender,"Bitdefender ATS & EDR,Bitdefender ATS & EDR (MDR bundle split),Bitdefender Cloud Sec GravityZone (MDR bundle split)",3,2153.0
Bitdefender,"Bitdefender Cloud Encryption (1-99 ep),Bitdefender Cloud Security Gravity Zone",3,2285.0
